Welcome to the profile statistics browser.
profiling/profiling.data% profiling/profiling.data% Mon Jan  7 17:29:53 2019    profiling/profiling.data

         430080 function calls (421447 primitive calls) in 115.482 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1752/764    0.002    0.000    0.003    0.000 /usr/lib/python3.6/sre_parse.py:173(getwidth)
     1828    0.002    0.000    0.022    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:24(parse)
      474    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.002    0.002  115.482  115.482 tsp/main.py:2(<module>)
     1878    0.002    0.000    0.006    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:198(__init__)
     4418    0.002    0.000    0.004    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:65(_compare)
     4605    0.002    0.000    0.003    0.000 /usr/lib/python3.6/sre_parse.py:163(__getitem__)
    10493    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      491    0.002    0.000    0.158    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     1030    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
     1780    0.002    0.000    0.002    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       93    0.002    0.000    0.002    0.000 {built-in method builtins.print}
    512/5    0.002    0.000    0.776    0.155 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     2044    0.002    0.000    0.009    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:95(__enter__)
       13    0.002    0.000    0.034    0.003 {built-in method builtins.sorted}
     5078    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      335    0.002    0.000    0.003    0.000 /usr/lib/python3.6/inspect.py:2713(__init__)
      993    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      335    0.002    0.000    0.011    0.000 /usr/lib/python3.6/inspect.py:2176(_signature_from_callable)
     4131    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     1094    0.002    0.000    0.002    0.000 /usr/lib/python3.6/inspect.py:2434(__init__)
 1765/897    0.002    0.000    0.360    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
      469    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      334    0.001    0.000    0.047    0.000 /usr/lib/python3.6/site-packages/decorator.py:218(decorate)
        2    0.001    0.001    0.001    0.001 {built-in method _ctypes.dlopen}
  410/116    0.001    0.000    0.031    0.000 /usr/lib/python3.6/sre_parse.py:407(_parse_sub)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     3914    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1776    0.001    0.000    0.015    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:74(__init__)
     1997    0.001    0.000    0.139    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      471    0.001    0.000    0.005    0.000 /usr/lib/python3.6/copy.py:66(copy)
      708    0.001    0.000    0.027    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:1992(_by_version)
    437/5    0.001    0.000    0.774    0.155 <frozen importlib._bootstrap_external>:672(exec_module)
      311    0.001    0.000    0.068    0.000 /usr/lib/python3.6/re.py:286(_compile)
     4088    0.001    0.000    0.001    0.000 {method 'getvalue' of '_io.BytesIO' objects}
     1883    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     5856    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     2044    0.001    0.000    0.001    0.000 /usr/lib/python3.6/multiprocessing/connection.py:138(_check_readable)
      474    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
      469    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      673    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      437    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      758    0.001    0.000    0.001    0.000 /usr/lib/python3.6/genericpath.py:117(_splitext)
      708    0.001    0.000    0.023    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:1998(<listcomp>)
  474/470    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      337    0.001    0.000    0.001    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1121(__init__)
      403    0.001    0.000    0.007    0.000 /usr/lib/python3.6/sre_compile.py:223(_compile_charset)
     2044    0.001    0.000    0.001    0.000 /usr/lib/python3.6/multiprocessing/connection.py:134(_check_closed)
       62    0.001    0.000    0.059    0.001 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:2003(find_on_path)
     3276    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:248(match)
      507    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
      469    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      507    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
     2238    0.001    0.000    0.003    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:53(__eq__)
      874    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      758    0.001    0.000    0.002    0.000 /usr/lib/python3.6/posixpath.py:119(splitext)
      471    0.001    0.000    0.002    0.000 /usr/lib/python3.6/copy.py:268(_reconstruct)
     1672    0.001    0.000    0.001    0.000 /usr/lib/python3.6/inspect.py:159(isfunction)
      451    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1242    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     2180    0.001    0.000    0.003    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:47(__lt__)
     2754    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2604    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     2121    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      437    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       52    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
     1429    0.001    0.000    0.001    0.000 /usr/lib/python3.6/inspect.py:2758(<genexpr>)
        9    0.001    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:837(_decompose)
     2298    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       23    0.001    0.000    0.011    0.000 /usr/lib/python3.6/collections/__init__.py:357(namedtuple)
     1481    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:847(__exit__)
      437    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      669    0.001    0.000    0.001    0.000 /usr/lib/python3.6/site-packages/decorator.py:164(<listcomp>)
      116    0.001    0.000    0.066    0.001 /usr/lib/python3.6/sre_compile.py:557(compile)
     1452    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:285(tell)
     1693    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:171(append)
       32    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       12    0.001    0.000    0.001    0.000 {built-in method posix.access}
      906    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:403(cached)
      437    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      531    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      471    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      826    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       38    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
    106/2    0.001    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/pyparsing.py:1347(_parseNoCache)
     1673    0.001    0.000    0.001    0.000 /usr/lib/python3.6/site-packages/decorator.py:208(<genexpr>)
