Welcome to the profile statistics browser.
profiling/profiling.data% profiling/profiling.data% Mon Jan  7 17:29:53 2019    profiling/profiling.data

         430080 function calls (421447 primitive calls) in 115.482 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/multiprocessing/queues.py:196(_finalize_close)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.6/multiprocessing/connection.py:117(__init__)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:4640(originalTextFor)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1046(wrapper)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1080(ParserElement)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:2710(charsAsStr)
     16/2    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/pyparsing.py:3696(parseImpl)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3674(ParseElementEnhance)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:2939(_get_mro)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/flow/capacityscaling.py:4(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/bipartite/projection.py:11(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/generators/community.py:12(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/site-packages/networkx/utils/random_sequence.py:14(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/ma/core.py:6266(__new__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/numerictypes.py:440(_set_array_types)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pathlib.py:602(PurePath)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:1736(parse_known_args)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:1818(take_action)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:203(Condition)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:65(__init__)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:135(<dictcomp>)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pkgutil.py:402(get_importer)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/warnings.py:159(_add_filter)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/weakref.py:102(__init__)
        7    0.000    0.000    0.004    0.001 /usr/lib/python3.6/posixpath.py:382(realpath)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       20    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        4    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       42    0.000    0.000    0.000    0.000 /usr/lib/python3.6/multiprocessing/util.py:48(debug)
        1    0.000    0.000    0.013    0.013 /usr/lib/python3.6/site-packages/packaging/specifiers.py:275(Specifier)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/drawing/layout.py:27(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/linalg/modularitymatrix.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/readwrite/gexf.py:21(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/html/__init__.py:3(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/readwrite/gpickle.py:22(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/tree/mst.py:12(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/community/kernighan_lin.py:13(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/fractions.py:60(Fraction)
        1    0.000    0.000    0.171    0.171 /usr/lib/python3.6/site-packages/networkx/generators/intersection.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/subprocess.py:1348(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/polynomial/legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pprint.py:98(PrettyPrinter)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:263(wait)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       62    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       12    0.000    0.000    0.012    0.001 /usr/lib/python3.6/multiprocessing/synchronize.py:162(__init__)
       94    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:4849(<genexpr>)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.6/site-packages/pyparsing.py:1571(parseString)
     12/2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1885(makeOptionalList)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/json/scanner.py:2(<module>)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.6/site-packages/networkx/readwrite/json_graph/__init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-477>:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/connectivity/stoerwagner.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/community/quality.py:12(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/flow/gomory_hu.py:14(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-357>:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/centrality/current_flow_betweenness.py:9(<module>)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/ma/core.py:2551(_arraymethod)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/lib/format.py:156(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/testing/_private/nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/shape_base.py:1(<module>)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:1278(_registry_get)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/argparse.py:1600(__init__)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.6/os.py:994(close)
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:4409(delimitedList)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3894(__init__)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.6/email/_policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/xml/parsers/expat.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:209(_declare_state)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/readwrite/gexf.py:183(GEXF)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/isomorphism/matchhelpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/connectivity/kcutsets.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/shortest_paths/weighted.py:15(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/operators/all.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/operators/product.py:15(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-160>:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/components/strongly_connected.py:13(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/classes/reportviews.py:94(<module>)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/ma/core.py:8061(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/ma/core.py:2905(_update_from)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/decimal.py:2(<module>)
        8    0.000    0.000    0.002    0.000 /usr/lib/python3.6/hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/bz2.py:5(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/unittest/main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pprint.py:35(<module>)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/numeric.py:2592(geterr)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/_methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/numerictypes.py:369(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/__config__.py:3(<module>)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:1551(_add_action)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/multiprocessing/context.py:30(BaseContext)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:533(wait)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/threading.py:828(start)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:789(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.6/locale.py:345(_replace_encoding)
       75    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        3    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
       38    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/multiprocessing/queues.py:141(join_thread)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/multiprocessing/queues.py:186(_finalize_join)
        1    0.000    0.000    0.000    0.000 tsp/state.py:45(print_parameters)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1985(__call__)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/pyparsing.py:3818(parseImpl)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/packaging/specifiers.py:214(LegacySpecifier)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/packaging/specifiers.py:266(_require_version_compare)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/packaging/__init__.py:4(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/email/errors.py:5(<module>)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:2950(_find_adapter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/generators/line.py:13(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/connectivity/disjoint_paths.py:11(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/sparsifiers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/wiener.py:9(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/components/biconnected.py:12(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/centrality/current_flow_closeness.py:9(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/centrality/betweenness.py:10(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/classes/ordered.py:27(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/convert_matrix.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/classes/graph.py:33(Graph)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/release.py:30(<module>)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.6/subprocess.py:1401(_try_wait)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/polynomial/_polybase.py:8(<module>)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/lib/mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/lib/nanfunctions.py:22(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/matrixlib/defmatrix.py:70(matrix)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/testing/_private/decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/unittest/suite.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/defchararray.py:1669(chararray)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/getlimits.py:69(<lambda>)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/numeric.py:2491(seterr)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/numerictypes.py:418(_construct_char_code_lookup)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.6/site-packages/numpy/compat/__init__.py:10(<module>)
        1    0.000    0.000    0.740    0.740 tsp/ga_parallel.py:3(<module>)
       85    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_compat_pickle.py:167(<genexpr>)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:1230(current_thread)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:2186(_get_nargs_pattern)
        2    0.000    0.000    0.075    0.038 /usr/lib/python3.6/multiprocessing/context.py:274(_Popen)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:831(__init__)
       68    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:628(<lambda>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/os.py:44(<listcomp>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/__init__.py:43(normalize_encoding)
       69    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       45    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        2    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.copyto}
        7    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.seterrobj}
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3976(__str__)
        1    0.000    0.000    0.014    0.014 /usr/lib/python3.6/email/parser.py:5(<module>)
        7    0.000    0.000    0.004    0.001 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:2207(normalize_path)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:1027(Environment)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/xml/etree/ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/readwrite/adjlist.py:24(<module>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.6/site-packages/networkx/algorithms/isomorphism/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/isomorphism/temporalisomorphvf2.py:67(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/site-packages/networkx/algorithms/community/modularity_max.py:17(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/bipartite/covering.py:7(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/richclub.py:11(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/covering.py:7(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/centrality/current_flow_betweenness_subset.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/classes/graphviews.py:35(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/gzip.py:4(<module>)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/ma/core.py:8066(getdoc)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/memmap.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/unittest/result.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/ctypes/__init__.py:365(__getitem__)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pathlib.py:119(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/datetime.py:1360(datetime)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/_import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/tokenize.py:355(detect_encoding)
       73    0.000    0.000    0.000    0.000 /usr/lib/python3.6/signal.py:17(<lambda>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:1529(__init__)
       37    0.000    0.000    0.000    0.000 /usr/lib/python3.6/multiprocessing/__init__.py:22(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:848(<listcomp>)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:52(_commit_removals)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       42    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.075    0.037 /usr/lib/python3.6/multiprocessing/popen_fork.py:16(__init__)
        2    0.000    0.000    0.087    0.044 /usr/lib/python3.6/multiprocessing/popen_fork.py:50(wait)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:397(__setitem__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1265(addParseAction)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1836(__mul__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:2004(suppress)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3788(__init__)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.6/site-packages/packaging/version.py:191(Version)
        1    0.000    0.000    0.000    0.000 <string>:5(_Version)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:3030(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/json/decoder.py:283(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/xml/etree/ElementTree.py:542(ElementTree)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/readwrite/nx_yaml.py:15(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/generators/small.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/generators/stochastic.py:10(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/community/asyn_fluid.py:6(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/bipartite/matching.py:43(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/bipartite/edgelist.py:24(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/minors.py:11(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/components/weakly_connected.py:11(<module>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/site-packages/networkx/algorithms/assortativity/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/bridges.py:10(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/generators/atlas.py:12(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/classes/multidigraph.py:11(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/ma/extras.py:242(getdoc)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/site-packages/numpy/lib/financial.py:12(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/random.py:71(Random)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/unittest/runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/unittest/util.py:1(<module>)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.6/site-packages/numpy/compat/py3k.py:4(<module>)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.6/datetime.py:278(_check_date_fields)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/token.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:966(_stop)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:310(__getattr__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/weakref.py:354(__init__)
       29    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       23    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 tsp/state.py:101(print_stop)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/appdirs.py:9(<module>)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3057(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/six.py:126(__init__)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:2452(_reload_version)
        1    0.000    0.000    0.031    0.031 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:640(_build_master)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:989(_added_new)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/readwrite/pajek.py:23(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/readwrite/multiline_adjlist.py:27(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/connectivity/kcomponents.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/flow/shortestaugmentingpath.py:4(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/node_classification/hmn.py:11(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/simple_paths.py:6(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/triads.py:12(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/voronoi.py:9(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/networkx/algorithms/components/attracting.py:10(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/cuts.py:14(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/algorithms/chordal.py:8(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/classes/digraph.py:11(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/utils/rcm.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/utils/heaps.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/networkx/classes/coreviews.py:12(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/uuid.py:58(UUID)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/ma/core.py:1145(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/ma/core.py:6256(MaskedConstant)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/fft/helper.py:4(<module>)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/lib/mixins.py:20(_binary_method)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/lib/histograms.py:3(<module>)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.6/site-packages/numpy/matrixlib/__init__.py:3(<module>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/lib/utils.py:118(deprecate)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/random.py:96(seed)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/string.py:65(__init__)
       40    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/numerictypes.py:154(english_upper)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/numerictypes.py:181(english_capitalize)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/compat/_inspect.py:43(iscode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pathlib.py:382(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/__future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pickle.py:345(_Pickler)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.6/traceback.py:1(<module>)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.6/tokenize.py:112(group)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.6/tokenize.py:148(<listcomp>)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
